il numero dei nodi e':100
le condizioni iniziali sono:100
0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 0 0 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	0 256 256 256 256 255 256 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 254 256 256 9 255 0 256 256 253 256 256 256 254 256 253 256 255 256 256 256 47 256 256 183 256 256 256 256 255 256 256 0 256 253 253 256 253 256 256 256 256 253 256 256 253 256 256 256 256 256 256 253 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 
1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 	256 256 256 256 256 255 256 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 253 256 256 256 256 256 256 256 256 256 256 256 256 256 254 256 255 256 256 256 253 256 256 0 0 0 256 256 256 256 256 256 256 255 0 256 253 256 256 256 256 253 0 256 253 256 256 256 256 256 256 256 253 256 256 256 256 256 256 256 255 0 256 256 64 256 256 256 256 256 256 
0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	253 256 256 256 256 256 256 253 256 256 253 256 256 256 256 256 256 256 256 256 255 256 256 255 256 256 256 256 256 253 256 256 254 256 256 256 256 256 256 256 256 254 254 253 256 256 256 256 256 254 256 256 253 253 253 256 256 256 256 256 253 256 253 139 256 256 256 256 256 256 0 253 256 256 256 256 256 256 256 256 253 0 255 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 
1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 0 0 1 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 	256 256 256 256 256 256 256 256 256 172 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 255 256 256 256 253 256 256 253 256 256 256 256 256 256 256 256 253 256 253 256 256 256 256 255 256 256 256 256 253 253 256 256 256 256 255 256 256 253 253 256 253 256 256 255 256 0 256 256 256 255 255 256 256 256 256 253 253 0 256 256 256 256 256 256 256 256 255 256 255 256 256 256 256 256 256 
1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 	256 256 256 256 256 253 0 256 256 187 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 253 256 256 256 256 256 256 256 256 256 256 256 0 256 253 256 256 256 256 256 135 256 256 140 253 0 256 256 256 256 256 253 256 256 0 256 256 256 256 256 255 256 0 256 256 256 253 256 256 0 256 253 0 253 256 256 256 256 256 256 255 256 256 256 256 256 256 256 256 256 256 
0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 	253 256 256 256 256 256 256 54 256 256 0 256 256 256 256 256 256 256 255 256 256 256 256 256 256 256 256 256 256 253 256 256 256 256 256 256 256 0 256 256 256 0 256 253 256 256 256 256 256 253 256 256 37 253 198 256 256 256 256 256 253 256 253 253 256 254 256 256 256 255 256 0 256 151 256 256 256 255 255 256 253 256 256 256 256 256 256 256 255 255 256 256 256 256 256 256 256 256 256 256 
0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 0 0 0 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	0 256 256 256 256 256 256 256 256 115 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 255 139 256 256 256 256 256 256 256 256 256 256 253 255 256 256 256 256 256 256 255 253 256 256 256 256 255 256 256 215 256 256 255 256 97 256 256 256 253 253 253 255 253 256 0 256 256 256 256 253 253 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 
0 1 0 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 	155 256 0 256 256 256 256 253 256 256 0 256 256 255 256 255 256 256 256 256 256 255 256 256 256 256 256 256 256 0 256 256 254 256 256 256 256 253 256 256 256 254 256 256 256 256 256 256 256 253 256 256 256 254 256 256 256 256 256 256 254 256 253 4 256 256 256 256 256 256 253 88 256 256 256 256 256 256 256 256 254 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 
0 1 0 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 	253 256 169 256 256 256 256 254 256 0 253 256 255 256 256 256 256 256 256 256 256 256 256 255 256 256 256 256 256 253 256 256 256 256 256 256 256 254 256 256 256 0 256 0 256 256 256 256 256 256 256 256 253 256 0 256 256 256 256 255 253 256 0 254 256 253 256 256 256 256 256 256 256 256 256 253 256 256 255 256 253 253 256 256 256 256 255 256 256 49 256 256 256 256 256 256 256 256 256 256 
0 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 	253 256 255 256 256 256 255 256 256 0 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 256 253 256 256 254 256 256 256 256 256 256 256 256 254 256 0 256 256 256 256 256 254 256 256 253 0 100 256 256 256 256 256 256 256 253 253 256 236 256 256 256 256 0 253 256 256 256 253 256 256 256 256 256 256 256 256 256 256 256 256 255 256 256 256 256 256 256 256 256 256 256 256 
